"","month","day","year","t.minus","s.mean","s.SD","p.GT.5","p.GT.25","p.GT.1"
"219","08","21","2012",14,0.0555038241114348,8.19848516496814e-06,0.00270562770562771,0.0570500927643785,0.203772418058132
"220","08","21","2012",30,0.0777241165667501,1.19308495655667e-05,0.0218769325912183,0.0994897959183673,0.262445887445887
"221","08","22","2012",1,0.0121278470039376,2.4334123427266e-06,0.00023191094619666,0.000463821892393321,0.00618429189857761
"222","08","22","2012",2,0.033707469702685,5.74127367355511e-06,0.000463821892393321,0.0189393939393939,0.112090290661719
"223","08","22","2012",3,0.0352072192834856,6.17058476883403e-06,0.000773036487322202,0.0231137909709338,0.116264687693259
"224","08","22","2012",4,0.0364659992879381,6.30755851306781e-06,0.000927643784786642,0.024582560296846,0.122680890538033
"225","08","22","2012",5,0.0379209109505812,6.52713992472987e-06,0.00100494743351886,0.0270562770562771,0.127705627705628
"226","08","22","2012",6,0.039098475616956,6.63635926077067e-06,0.000927643784786642,0.0289888682745826,0.132498453927025
"227","08","22","2012",7,0.0407758625887679,6.80819705875156e-06,0.0011595547309833,0.0304576376004947,0.140615337043908
"228","08","22","2012",8,0.0433114370188647,7.00519972326489e-06,0.0011595547309833,0.0338589981447124,0.151592455163884
"229","08","22","2012",14,0.0579048142306438,8.57960563469809e-06,0.00394248608534323,0.0619202226345083,0.213976499690785
"230","08","22","2012",30,0.0762839869723895,1.1827089242388e-05,0.0206400742115028,0.0959338280766852,0.256184291898578
"231","08","23","2012",1,0.0301536432230527,5.40480146809873e-06,0,0.0173160173160173,0.095856524427953
"232","08","23","2012",2,0.0332404399041186,5.81253156438242e-06,0.000309214594928881,0.0204854669140383,0.107915893630179
"233","08","23","2012",3,0.0343727816380624,5.96642254813497e-06,0.000309214594928881,0.0217223252937539,0.112012987012987
"234","08","23","2012",4,0.0360825776924513,6.18642849963764e-06,0.000386518243661101,0.0244279529993816,0.119588744588745
"235","08","23","2012",5,0.0372087795004601,6.29733072630016e-06,0.000463821892393321,0.0255102040816327,0.125077303648732
"236","08","23","2012",6,0.0392017632101758,6.46683736807428e-06,0.000695732838589981,0.0276747062461348,0.133735312306741
"237","08","23","2012",7,0.0420415812032494,6.67354520105424e-06,0.000695732838589981,0.0322356215213358,0.144403215831787
"238","08","23","2012",8,0.0461536691890059,6.89821992642831e-06,0.00100494743351886,0.0348639455782313,0.163419913419913
"239","08","23","2012",14,0.0581692260528398,8.55043700425463e-06,0.00378787878787879,0.0612244897959184,0.212662337662338
"240","08","23","2012",30,0.0791677554168672,1.15517596464256e-05,0.0188620902906617,0.101499690785405,0.274582560296846
"241","08","24","2012",1,0.0138484004442468,2.60898684325343e-06,0.000309214594928881,0.00100494743351886,0.0112090290661719
"242","08","24","2012",2,0.0157201640402219,2.92276772651592e-06,0.000309214594928881,0.00170068027210884,0.0183982683982684
"243","08","24","2012",3,0.0187130027187847,3.40160333804851e-06,0.000386518243661101,0.00324675324675325,0.0286796536796537
"244","08","24","2012",4,0.0206216441422856,3.72392570084832e-06,0.00023191094619666,0.00448361162646877,0.0369511440940012
